Name,Age,Gender,Country,State,City,Parent Occupation,Earning Class,Course Level,Assessment Score,Time per Day,IQ,Memory Power,Concentration,student_level,num_examples,break_interval,num_test_questions,course_duration,course_name,material_name,material_level
Felicia,9,M,India,Delhi,New Delhi,Businessperson,Upper Middle,2,58,2,110,7,6,2,5,30,15,20,Intermediate_Python,Python_material,1
Kimberly,13,F,UK,England,Manchester,Teacher,Upper Middle,3,82,8,123,7,8,3,5,40,12,15,Learn_Good_Python,Python_material,1
Michael,17,M,USA,California,Los Angeles,Laborer,Low,1,31,6,89,3,3,1,7,30,15,25,Basic_Python,Python_material,1
Steven,11,M,UK,Scotland,Edinburgh,Clerk,Low,2,53,3,93,7,8,2,5,40,15,20,Intermediate_Python,Python_material,1
Michael,10,M,Canada,Ontario,Ottawa,Doctor,Upper Middle,1,48,5,98,7,6,1,5,30,15,25,Basic_Python,Python_material,1
John,11,F,USA,New York,New York City,Teacher,Upper Middle,3,82,3,121,8,8,3,5,40,12,15,Learn_Good_Python,Python_material,1
Johnny,17,M,India,Tamil Nadu,Coimbatore,Teacher,Low,2,64,5,109,4,5,2,7,30,15,20,Intermediate_Python,Python_material,1
James,16,M,India,Maharashtra,Pune,Teacher,Low,1,35,2,91,6,7,1,7,40,15,25,Basic_Python,Python_material,1
Rebecca,12,M,UK,Scotland,Glasgow,Engineer,Upper Middle,1,46,4,86,2,1,1,7,30,15,25,Basic_Python,Python_material,1
Erica,17,M,Canada,Ontario,Ottawa,Laborer,Upper Middle,2,70,4,113,8,7,2,5,40,12,20,Intermediate_Python,Python_material,1
John,10,F,India,Maharashtra,Pune,Farmer,Low,2,52,6,100,4,4,2,7,30,15,20,Intermediate_Python,Python_material,1
Jeffrey,14,M,USA,New York,Buffalo,Teacher,Lower Middle,2,59,3,99,7,6,2,5,30,15,20,Intermediate_Python,Python_material,1
Monica,18,F,India,Maharashtra,Mumbai,Engineer,High,3,81,7,114,7,7,3,5,40,12,15,Learn_Good_Python,Python_material,1
Sharon,14,M,UK,England,Manchester,Laborer,High,1,50,3,103,7,7,1,5,40,15,25,Basic_Python,Python_material,1
Susan,12,F,India,Maharashtra,Mumbai,Doctor,Upper Middle,2,64,3,107,6,6,2,7,30,15,20,Intermediate_Python,Python_material,1
Robert,13,M,USA,Texas,Dallas,Businessperson,Lower Middle,2,68,2,118,7,7,2,5,40,12,20,Intermediate_Python,Python_material,1
Jessica,18,M,India,Tamil Nadu,Coimbatore,Laborer,Lower Middle,1,41,1,89,2,3,1,7,30,15,25,Basic_Python,Python_material,1
Kimberly,13,F,UK,Scotland,Edinburgh,Clerk,High,1,38,2,92,5,6,1,7,30,15,25,Basic_Python,Python_material,1
John,17,M,UK,England,Manchester,Businessperson,Upper Middle,1,50,2,94,6,5,1,7,30,15,25,Basic_Python,Python_material,1
Shawn,16,M,Canada,Ontario,Toronto,Clerk,Low,1,44,4,100,6,7,1,7,40,15,25,Basic_Python,Python_material,1
Jessica,12,F,Canada,Quebec,Montreal,IT Professional,Upper Middle,2,57,2,105,4,3,2,7,30,15,20,Intermediate_Python,Python_material,1
Hannah,10,M,USA,New York,Buffalo,Engineer,Lower Middle,2,56,5,105,5,6,2,7,30,15,20,Intermediate_Python,Python_material,1
Taylor,15,F,India,Tamil Nadu,Chennai,Laborer,Lower Middle,2,61,5,102,5,4,2,7,30,15,20,Intermediate_Python,Python_material,1
Tyler,8,F,UK,England,London,Businessperson,Lower Middle,3,84,8,114,8,8,3,5,40,12,15,Learn_Good_Python,Python_material,1
Seth,8,M,UK,England,Manchester,Clerk,Upper Middle,1,43,5,92,7,8,1,5,40,15,25,Basic_Python,Python_material,1
Monique,10,M,India,Maharashtra,Mumbai,Clerk,Lower Middle,3,82,3,115,8,8,3,5,40,12,15,Learn_Good_Python,Python_material,1
Jason,17,M,UK,England,London,Engineer,Upper Middle,2,59,2,106,4,4,2,7,30,15,20,Intermediate_Python,Python_material,1
Robert,15,M,India,Delhi,New Delhi,Farmer,Lower Middle,3,95,7,125,7,8,3,5,40,10,15,Learn_Good_Python,Python_material,1
Donald,16,F,Canada,Ontario,Toronto,Teacher,Low,1,27,3,86,5,6,1,7,30,15,25,Basic_Python,Python_material,1
James,15,F,UK,Scotland,Edinburgh,IT Professional,High,2,51,5,92,5,6,2,7,30,15,20,Intermediate_Python,Python_material,1
Kenneth,16,M,Canada,Ontario,Toronto,Teacher,High,2,51,7,110,9,10,2,3,50,15,20,Intermediate_Python,Python_material,1
Sandra,18,M,India,Maharashtra,Mumbai,Engineer,Low,1,33,5,86,2,1,1,7,30,15,25,Basic_Python,Python_material,1
Kevin,11,M,Canada,Ontario,Ottawa,Laborer,Low,1,50,5,104,7,7,1,5,40,15,25,Basic_Python,Python_material,1
Jason,17,F,Canada,Quebec,Quebec City,Clerk,Upper Middle,2,74,3,113,6,7,2,5,40,12,20,Intermediate_Python,Python_material,1
Jonathan,17,F,India,Delhi,New Delhi,Clerk,Upper Middle,2,72,4,116,9,10,2,3,50,12,20,Intermediate_Python,Python_material,1
Corey,14,F,UK,Scotland,Edinburgh,Engineer,Upper Middle,1,39,2,96,7,8,1,5,40,15,25,Basic_Python,Python_material,1
Amanda,14,M,USA,California,San Francisco,Engineer,High,3,87,8,125,7,8,3,5,40,10,15,Learn_Good_Python,Python_material,1
Vincent,8,F,UK,England,Manchester,Teacher,Lower Middle,2,51,5,105,5,5,2,7,30,15,20,Intermediate_Python,Python_material,1
Melanie,8,M,USA,New York,Buffalo,Clerk,Upper Middle,3,87,3,125,8,8,3,5,40,10,15,Learn_Good_Python,Python_material,1
Scott,12,M,UK,England,Manchester,Clerk,Upper Middle,1,35,4,91,4,4,1,7,30,15,25,Basic_Python,Python_material,1
Melissa,16,F,Canada,Quebec,Quebec City,Engineer,Low,1,43,1,86,3,3,1,7,30,15,25,Basic_Python,Python_material,1
Robert,10,F,UK,England,Manchester,Clerk,Upper Middle,1,48,2,107,6,7,1,7,40,15,25,Basic_Python,Python_material,1
Tara,14,F,UK,England,London,Teacher,Low,2,64,2,109,5,6,2,7,30,15,20,Intermediate_Python,Python_material,1
Lisa,14,M,USA,New York,New York City,Engineer,Upper Middle,1,31,4,85,5,4,1,7,30,15,25,Basic_Python,Python_material,1
Jessica,11,M,India,Delhi,New Delhi,Farmer,Upper Middle,1,34,5,94,4,3,1,7,30,15,25,Basic_Python,Python_material,1
Kimberly,18,F,India,Tamil Nadu,Coimbatore,Engineer,High,1,46,2,102,7,6,1,5,30,15,25,Basic_Python,Python_material,1
Edward,14,F,UK,Scotland,Edinburgh,Farmer,Low,2,63,5,104,5,6,2,7,30,15,20,Intermediate_Python,Python_material,1
Eric,13,F,Canada,Ontario,Ottawa,Farmer,Lower Middle,2,66,5,116,8,9,2,5,50,12,20,Intermediate_Python,Python_material,1
Robert,10,M,UK,England,Manchester,Businessperson,Low,3,99,8,132,10,10,3,3,50,10,15,Learn_Good_Python,Python_material,1
Elizabeth,18,F,India,Delhi,New Delhi,IT Professional,High,2,55,4,101,6,5,2,7,30,15,20,Intermediate_Python,Python_material,1
Timothy,18,F,UK,England,Manchester,Farmer,Upper Middle,2,61,5,104,7,8,2,5,40,15,20,Intermediate_Python,Python_material,1
Katherine,10,F,USA,Texas,Dallas,Businessperson,Lower Middle,1,46,1,102,5,4,1,7,30,15,25,Basic_Python,Python_material,1
Emily,9,F,UK,England,Manchester,Clerk,Low,3,81,5,114,8,9,3,5,50,12,15,Learn_Good_Python,Python_material,1
Douglas,9,M,UK,Scotland,Edinburgh,Teacher,High,1,41,2,91,6,6,1,7,30,15,25,Basic_Python,Python_material,1
William,18,F,USA,Texas,Houston,Laborer,High,1,46,1,93,5,6,1,7,30,15,25,Basic_Python,Python_material,1
Paula,14,F,USA,Texas,Houston,Teacher,Lower Middle,1,28,2,85,2,1,1,7,30,15,25,Basic_Python,Python_material,1
Teresa,16,F,UK,England,London,Doctor,Low,2,72,4,113,9,9,2,3,50,12,20,Intermediate_Python,Python_material,1
Ian,9,F,Canada,Ontario,Toronto,Engineer,Lower Middle,1,50,5,99,7,8,1,5,40,15,25,Basic_Python,Python_material,1
Sara,14,F,UK,England,Manchester,Laborer,Upper Middle,1,48,5,103,7,6,1,5,30,15,25,Basic_Python,Python_material,1
Adam,14,M,USA,New York,New York City,Businessperson,Lower Middle,1,37,1,92,5,6,1,7,30,15,25,Basic_Python,Python_material,1
Richard,11,F,India,Tamil Nadu,Chennai,Farmer,High,1,43,6,93,7,7,1,5,40,15,25,Basic_Python,Python_material,1
Sharon,18,M,USA,Texas,Houston,Businessperson,Low,1,38,1,96,4,5,1,7,30,15,25,Basic_Python,Python_material,1
James,15,M,India,Tamil Nadu,Coimbatore,IT Professional,Low,1,46,5,96,7,6,1,5,30,15,25,Basic_Python,Python_material,1
Brent,13,F,Canada,Quebec,Quebec City,Doctor,Low,3,85,5,118,8,7,3,5,40,12,15,Learn_Good_Python,Python_material,1
Mary,16,M,India,Delhi,New Delhi,Teacher,Lower Middle,2,68,8,110,6,6,2,7,30,12,20,Intermediate_Python,Python_material,1
